time_sow,X_m,Y_m,Z_m
172800,-8346954.77979407,16456595.277537895,19064228.957267452
172830,-8379857.456411158,16496589.515468657,19014223.10748408
172860,-8412408.380073352,16536869.082460545,18963851.989764642
172890,-8444605.053034503,16577430.862344366,18913116.543464545
172920,-8476445.00484692,16618271.717090646,18862017.715107325
172950,-8507925.79255369,16659388.487048946,18810556.458368488
172980,-8539045.0008788,16700777.991188953,18758733.734059256
173010,-8569800.242415536,16742437.027343001,18706550.510110084
173040,-8600189.15781213,16784362.372450553,18654007.76155416
173070,-8630209.415956166,16826550.78280399,18601106.470510587
173100,-8659858.714155894,16868998.994296454,18547847.62616751
173130,-8689134.778319981,16911703.722670928,18494232.224765114
173160,-8718035.36313511,16954661.66377099,18440261.26957841
173190,-8746558.252240881,16997869.493793357,18385935.770899896
173220,-8774701.258403165,17041323.869541653,18331256.746022046
173250,-8802462.223684551,17085021.42868204,18276225.219219748
173280,-8829839.019613389,17128958.789999954,18220842.221732423
173310,-8856829.547349628,17173132.553658843,18165108.791746147
173340,-8883431.737849254,17217539.301459968,18109025.97437552
173370,-8909643.552025998,17262175.59710374,18052594.82164549
173400,-8935462.980910707,17307037.986452732,17995816.39247291
173430,-8960888.045808828,17352122.997795753,17938691.75264802
173460,-8985916.798455046,17397427.142113674,17881221.974815764
173490,-9010547.321166161,17442946.913346186,17823408.138456997
173520,-9034777.726991076,17488678.788660467,17765251.329869453
173550,-9058606.15985883,17534619.228720717,17706752.642148606
173580,-9082030.794724245,17580764.677959125,17647913.175168503
173610,-9105049.837710872,17627111.564848393,17588734.035562187
173640,-9127661.526252035,17673656.302175093,17529216.336702272
173670,-9149864.129229026,17720395.287314713,17469361.198681094
173700,-9171655.947107343,17767324.902507477,17409169.74829096
173730,-9193035.312069995,17814441.515135888,17348643.119004086
173760,-9214000.588148754,17861741.478003033,17287782.45095244
173790,-9234550.171353098,17909221.12961218,17226588.89090749
173820,-9254682.489796154,17956876.79444773,17165063.592259627
173850,-9274396.003818717,18004704.78325693,17103207.714997746
173880,-9293689.206110481,18052701.393333025,17041022.425688356
173910,-9312560.62182898,18100862.908799227,16978508.897454824
173940,-9331008.808715977,18149185.600893922,16915668.309956234
173970,-9349032.357211187,18197665.72825689,16852501.849366292
174000,-9366629.89056388,18246299.537216388,16789010.708351966
174030,-9383800.06494153,18295083.26207746,16725196.086052077
174060,-9400541.569536364,18344013.12541102,16661059.188055608
174090,-9416853.126668824,18393085.338344038,16596601.22638006
174120,-9432733.491889182,18442296.10085052,16531823.419449473
174150,-9448181.454076027,18491641.60204345,16466726.99207248
174180,-9463195.835532408,18541118.020467687,16401313.17542001
174210,-9477775.492079515,18590721.524393592,16335583.207003117
174240,-9491919.31314759,18640448.272111572,16269538.330650406
174270,-9505626.22186438,18690294.412227407,16203179.796485506
174300,-9518895.175140884,18740256.083958462,16136508.860904256
174330,-9531725.163754687,18790329.417430468,16069526.78655191
174360,-9544115.212430574,18840510.533975236,16002234.842300035
174390,-9556064.379918365,18890795.546429083,15934634.30322341
174420,-9567571.759068526,18941180.559431806,15866726.450576678
174450,-9578636.476904849,18991661.6697265,15798512.571770923
174480,-9589257.694694573,19042234.96645995,15729993.960350111
174510,-9599434.608015798,19092896.531483687,15661171.915967314
174540,-9609166.44682252,19143642.43965561,15592047.744360909
174570,-9618452.475506738,19194468.759142213,15522622.757330576
174600,-9627291.992957944,19245371.55172146,15452898.272713082
174630,-9635684.332620107,19296346.87308601,15382875.614358166
174660,-9643628.862545926,19347390.773147117,15312556.112103986
174690,-9651124.985448211,19398499.296339024,15241941.101752633
174720,-9658172.138748974,19449668.481923684,15171031.92504548
174750,-9664769.794625554,19500894.364296064,15099829.929638287
174780,-9670917.460054122,19552172.973289803,15028336.469076356
174810,-9676614.676850427,19603500.33448334,14956552.902769355
174840,-9681861.021708224,19654872.46950628,14884480.595966093
